categoria,categoriaF,categoriaS,ciudad,ciudadF,comunidad,comunidadF,contenido,creador,cuestionario,discapacidad,educacion,educacionF,educacionReq,educacionReqF,educacionS,empresaSocial,fechaCreacion,fechaCreacionBoost,fechaCreacionPortal,fechaRevision,horario,id,jornada,jornadaF,localizacion,minExperiencia,noMeInteresa,origen,pais,paisF,paisS,provincia,provinciaF,provinciaLimitrofe,provinciaS,salarioMax,salarioMin,score,speState,speStateId,subcategoria,subcategoriaF,subcategoriaS,tipoContratoN,titulo,trabajosOfertados,url,verSalarioMax,verSalarioMin
01,ADMINISTRACIÓN,ADMINISTRACIÓN,28079,Madrid,13,MADRID,"- CONTABILIDAD GENERAL
- CONCILIACIONES BANCARIAS
- APOYO AL DEPARTAMENTO FINANCIERO
- LABORES PROPIAS DE ADMINISTRACIÓN",VALDEOJOS SL,False,False,6,"FP II, Ciclo de Grado Superior",06004,Administración y Secretariado,"FP II, Ciclo de Grado Superior",False,2018-10-29T18:31:54Z,2018-10-29T00:00:00Z,2018-10-30T00:00:00Z,2018-11-18T00:00:00Z,09:00-14:00 16:00-19:00,1734671677,1,COMPLETA,"40.416775,-3.703790",2,['1732036231'],WEB,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,15000,15000,1.1742488,Activa,1,01003,CONTABILIDAD/FINANZAS,CONTABILIDAD/FINANZAS,2,CONTABLE ADMINISTRATIVO,1,-,1,1
21,PELUQUERÍA/ESTÉTICA,PELUQUERÍA/ESTÉTICA,41047,Gines,1,ANDALUCÍA,"SE REQUIERE AUXILIAR DE PELUQUERÍA, CON FORMACIÓN DE AUXILIAR DE PELUQUERÍA ,CONOCIMIENTOS DE TINTE , MECHAS ETC....",AUXILIAR DE PELUQUERIA,NA,False,5,"FP I, Ciclo de Grado Medio",05013,"Imagen Personal, Peluqueria","FP I, Ciclo de Grado Medio",False,2018-10-30T09:12:15Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T09:12:15Z,NA,1668878452,2,PARCIAL,"37.3873527,-6.078058599999999",NA,NA,SAE,724,ESPAÑA,ESPAÑA,41,SEVILLA,['SEVILLA'],SEVILLA,NA,NA,1.1742488,Activa,1,21002,PELUQUERÍA,PELUQUERÍA,2,AUXILIAR DE PELUQUERIA,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=66488&tipoOferta=OM&origen=&listado=true,NA,NA
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,31201,Pamplona/Iruña,15,NAVARRA,"FUNCIONES; Bajo la supervisión del responsable, participará en el diseño, elaboración y puesta en práctica de las siguientes funciones, ayudando a imprimir la idiosincrasia propia de cada uno de los recursos. • Funcionan como referentes y figuras de autoridad para los usuarios/as siendo modelo de identificación en cuanto a pautas de comportamiento y desempeño de roles sociales integradores en la sociedad actual. • Prestará atención y dará respuesta a todas sus necesidades físicas, psicológicas, educativas, familiares y emocionales. • Organizará las actividades de la vida cotidiana (tareas escolares, higiene, sanitario, …) en función de los objetivos educativos previstos para cada menor • Conocerá la historia de los menores de su Hogar y la de sus familias. • Elaborará los programas educativos individuales de cada menor, coordinado con el Equipo Técnico • Llevará",NA,NA,False,7,Diplomado o Ingeniero Técnico,07004,Educación Social,Diplomado o Ingeniero Técnico,False,2018-10-30T09:59:14Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T09:59:14Z,NA,1668997141,NA,NA,"42.812526,-1.6457745",3,NA,NAVARRA,724,ESPAÑA,ESPAÑA,31,NAVARRA,['NAVARRA'],NAVARRA,NA,NA,1.1742488,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,5,Educador/a social,1,http://www.navarra.es/home_es/Temas/Empleo+y+Economia/Empleo/Empleo/Ofertas+de+empleo/Default.htm?Id=45737,NA,NA
16,HOSTELERÍA/TURISMO,HOSTELERÍA/TURISMO,28074,Leganés,13,MADRID,Se necesita camarero o camarera responsable con experiencia.,"ENCARNACION SAIZ,S.L.",False,False,2,Estudios primarios,02001,Estudios primarios (Sin especialidad),Estudios primarios,False,2018-10-30T09:44:06Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2019-01-30T00:00:00Z,mañana tarde o partido.,1734676661,1,COMPLETA,"40.331951,-3.768655",3,NA,WEB,724,ESPAÑA,ESPAÑA,28,MADRID,['MADRID'],MADRID,1100,900,1.1742488,Activa,1,16004,CAMAREROS,CAMAREROS,2,HOSTELERIA,2,-,1,1
01,ADMINISTRACIÓN,ADMINISTRACIÓN,31232,Tudela,15,NAVARRA,Tareas relacionadas con la actividad de la empresa.,"Eroski, S.Coop",NA,False,5,"FP I, Ciclo de Grado Medio",05004,Administración,"FP I, Ciclo de Grado Medio",False,2018-10-23T09:33:00Z,2018-10-23T00:00:00Z,2018-10-30T00:00:00Z,2018-11-01T00:00:00Z,NA,1734602676,2,PARCIAL,"42.061382,-1.606317",1,NA,WEB,724,ESPAÑA,ESPAÑA,31,NAVARRA,['NAVARRA'],NAVARRA,800,800,1.1742488,Activa,1,01001,ADMINISTRATIVOS,ADMINISTRATIVOS,0,Administrativo,1,-,NA,NA
15,FÁBRICAS/INDUSTRIA,FÁBRICAS/INDUSTRIA,31122,Huarte/Uharte,15,NAVARRA,Aplicador/a de biocidas para el control de plagas y tratamientos de madera.,NA,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T09:59:14Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T09:59:14Z,NA,1668997143,NA,NA,"42.8317533,-1.5905624",1,NA,NAVARRA,724,ESPAÑA,ESPAÑA,31,NAVARRA,['NAVARRA'],NAVARRA,NA,NA,1.1742488,Activa,1,15003,MADERA Y MUEBLE/EBANISTERÍA,MADERA Y MUEBLE/EBANISTERÍA,NA,Aplicador/a de biocidas,1,http://www.navarra.es/home_es/Temas/Empleo+y+Economia/Empleo/Empleo/Ofertas+de+empleo/Default.htm?Id=45739,NA,NA
20,METAL/MECÁNICA,METAL/MECÁNICA,36057,Vigo,12,GALICIA,Ayudar en las tareas de montaje de estructuras metálicas y en el montaje y desmontaje de maquinaria,Frinaval Vigo SL,NA,False,2,Estudios primarios,02001,Estudios primarios (Sin especialidad),Estudios primarios,False,2018-10-30T08:51:18Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-11-30T00:00:00Z,8h00-13h00 y de 14h00-17h00,1734676054,1,COMPLETA,"42.240599,-8.720727",3,NA,WEB,724,ESPAÑA,ESPAÑA,36,PONTEVEDRA,['PONTEVEDRA'],PONTEVEDRA,16000,15000,1.1742488,Activa,1,20004,SOLDADURA/CALDERERÍA/CHAPA,SOLDADURA/CALDERERÍA/CHAPA,3,Ayudante taller,1,-,NA,NA
19,CUIDADOS/ASISTENCIA EN EL HOGAR,CUIDADOS/ASISTENCIA EN EL HOGAR,04069,Olula Del Rio,1,ANDALUCÍA,Tipo de Oferta:EMPLEO DURACION DEL CONTRATO 20 DIAS,Oficina del Servicio Andaluz de Empleo,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014769,1,COMPLETA,"37.3553754,-2.2978133",NA,NA,SAE,724,ESPAÑA,ESPAÑA,4,ALMERÍA,['ALMERÍA'],ALMERÍA,NA,1132,1.1742488,Activa,1,19001,AUXILIARES DE ENFERMERÍA/GERIATRÍA,AUXILIARES DE ENFERMERÍA/GERIATRÍA,3,AUXILIARES DE ENFERMERÍA,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660523&tipoOferta=01&origen=&listado=true,NA,NA
22,SALUD/DEPORTE,SALUD/DEPORTE,18087,Granada,1,ANDALUCÍA,Tipo de Oferta:EMPLEO,Oficina del Servicio Andaluz de Empleo,NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014767,1,COMPLETA,"37.1773363,-3.5985571",NA,NA,SAE,724,ESPAÑA,ESPAÑA,18,GRANADA,['GRANADA'],GRANADA,NA,3214,1.1742488,Activa,1,22001,MEDICINA,MEDICINA,3,MÉDICOS ESPECIALISTAS EN OFTALMOLOGÍA,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660532&tipoOferta=01&origen=&listado=true,NA,NA
10,DEPENDIENTES/INFORMACIÓN,DEPENDIENTES/INFORMACIÓN,18062,Churriana de la Vega,1,ANDALUCÍA,"Tm System, precisa incorporar teleoperador@s para campaña de CAPTACIÓN DE SOCIOS. Buscamos personas dinámicas y con afán de superación, interesadas en la ayuda humanitaria y la labor social. Formarás parte de nuestra campaña de sensibilización informando a empresas y animándoles a colaborar. REQUISITOS: -Habilidades sociales y de comunicación - Dicción, tono y ritmo de la voz - Fluidez verbal y riqueza de vocabulario - Versatilidad y empatía con el cliente - Escucha activa y orientación al cliente - Capacidad de persuasión y negociación - Tolerancia a la frustración - Responsabilidad - Sonrisa telefónica - Informática a nivel usuario Valorable experiencia y/o colaboración con ONG Formación mínima requerida: Educación Secundaria Obligatoria","TELEMARKETING SISTEMAS, S.L.",NA,False,NA,NA,NA,NA,NA,False,2018-10-30T10:13:41Z,2018-10-30T00:00:00Z,2018-10-30T00:00:00Z,2018-10-31T10:13:41Z,NA,1669014766,1,COMPLETA,"37.1457019,-3.6448642",NA,NA,SAE,724,ESPAÑA,ESPAÑA,18,GRANADA,['GRANADA'],GRANADA,NA,600,1.1742488,Activa,1,10003,INFORMACIÓN/AZAFATAS/PROMOCIÓN COMERCIAL,INFORMACIÓN/AZAFATAS/PROMOCIÓN COMERCIAL,3,CAPTACIÓN SOCIOS COLABORADORES,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=66491&tipoOferta=EA&origen=&listado=true,NA,NA
