categoria,categoriaF,categoriaS,ciudad,ciudadF,comunidad,comunidadF,contenido,discapacidad,duracion,educacion,educacionDes,educacionDesF,educacionF,educacionS,empresaSocial,fechaCreacion,fechaCreacionBoost,fechaCreacionPortal,fechaIncorporacion,fechaRevision,formacionReq,id,localizacion,nivel,numCandidatos,origen,pais,paisF,paisS,provincia,provinciaF,provinciaLimitrofe,provinciaS,salarioMin,score,speState,speStateId,subcategoria,subcategoriaF,subcategoriaS,tamanoCompania2,tipoContrato,titulo,trabajosOfertados,url
23,VIGILANCIA/SERVICIOS,VIGILANCIA/SERVICIOS,18182,Ugíjar,1,ANDALUCÍA,"Funciones propias de la categoria de ordenanza, grupo V según VI convenio del colectivo del personal laboral al servicio de la administración de la Junta de Andalucía, control de entradas-salidas, porteo dentro de las dependencias, custodian llaves, recepcionan llamadas y documentos, alumbrado del centro, cierre.",False,90   Días,NA,NA,NA,NA,NA,False,2018-11-01T07:33:24Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,NA,2018-11-02T07:33:24Z,NA,1671078126,"36.9619832,-3.0538639",NA,NA,SAE,724,ESPAÑA,ESPAÑA,18,GRANADA,['GRANADA'],GRANADA,1000,1.1744709,Activa,1,23002,ORDENANZAS/CONSERJES,ORDENANZAS/CONSERJES,1,LABORAL TEMPORAL,ORDENANZAS,1,https://ws054.juntadeandalucia.es/eureka2/eureka-demandantes/detalleOferta.do?ofertaId=660746&tipoOferta=01&origen=&listado=true
01,ADMINISTRACIÓN,ADMINISTRACIÓN,18087,Granada,1,ANDALUCÍA,"TE CONTAMOS SOBRE EL PROYECTO... La Asociación sin ánimo de lucro Llueven Culturas, es una ONG con perspectiva pacifista, humanitaria e igualitaria en pro de los derechos humanos y  queremos aportar nuestro grano de arena para mejorar o prevenir las  desigualdades sociales. Actualmente estamos colaborando con el Área de Igualdad de la Diputación Provincial de Granada en un proyecto para trabajar la educación afectivo sexual en jóvenes y adolescentes mediante talleres y charlas en colegios e institutos, para favorecer unas relaciones interpersonales sanas, basadas en el respeto y la equidad, como forma de construcción de la identidad de género y relaciones entre iguales, ofreciéndoles también, el acceso a los recursos existentes en esta materia, como fuente de información. OBJETIVOS DEL PUESTO: • Colaborar en el desarrollo del proyecto. • Impartir talleres  dirigidos a jóvenes y adolescent",False,Sin especificar,NA,NA,NA,NA,NA,False,2018-11-01T09:03:59Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-11-14T23:00:00Z,2018-11-02T09:03:59Z,Al menos 1 año,1671078127,"37.1773363,-3.5985571",Empleado,0,HACESFALTA,724,ESPAÑA,ESPAÑA,18,GRANADA,['GRANADA'],GRANADA,18001,1.1744709,Activa,1,01005,RECURSOS HUMANOS/PERSONAL,RECURSOS HUMANOS/PERSONAL,1,Freelance,Sexólogo/a,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/sexologo-a/154055
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,43057,La Febró,9,CATALUÑA,Tareas de educador social en comunidad terapéutica de atención a drogodependientes del programa de alcoholismo integrándose en un equipo de trabajo multidisciplinar ,False,Sin especificar,7,07004,Educación Social,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T10:06:13Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-31T23:00:00Z,2018-11-02T10:06:13Z,Al menos 1 año,1671147792,"41.2775913,1.0043284",Empleado,0,HACESFALTA,724,ESPAÑA,ESPAÑA,43,TARRAGONA,['TARRAGONA'],TARRAGONA,12000,1.1744709,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,1,Jornada completa,Educador social,2,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/educador-social/154056
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,NA,NA,2,ARAGÓN,"Se selecciona persona con formación en musicoterapia para realizar sesiones individuales con niños y adolescentes con Trastorno del Espectro del Autismo y/o otras condiciones que limitan su desempeño autónomo.  Se ofrece contrato de 10h semanales a realizar en tres tardes entre semana, durante todo el curso escolar en la población de Monzón (Huesca).   Se requiere formación en muscoterapia. Se valorará experiencia en este ámbito.",False,Sin especificar,NA,NA,NA,NA,NA,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,No requerida,1670979251,"42.131845,-0.4078058",Empleado,1,HACESFALTA,724,ESPAÑA,ESPAÑA,22,HUESCA,['HUESCA'],HUESCA,12000,1.1744709,Activa,1,13008,FORMACIÓN PROFESIONAL,FORMACIÓN PROFESIONAL,1,Media jornada,Musicoterapeuta,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/musicoterapeuta/154010
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,46190,Paterna,10,COMUNIDAD VALENCIANA,"En dependencia de la Dirección del Área de Cooperación y Acción Humanitaria y de Emergencias: • Formulación y gestión técnica, administrativa y económica de proyectos de cooperación al desarrollo en el ámbito sanitario según  el Enfoque Basado en Derechos Humanos (EBDH) y parámetros de organismos nacionales -AECID, Comunidades Autónomas, municipios, etc.- e internacionales –Unión Europea. • Elaboración de informes según parámetros de las agencias cofinanciadoras. • Presupuestación de proyectos y justificación financiera de los mismos. • Seguimiento y fortalecimiento del desarrollo del Plan de Trabajo del Área de Cooperación y Acción Humanitaria y de Emergencias según el enfoque de trabajo y objetivos estratégicos de Farmamundi. • Apoyo a las Oficinas de Farmamundi en el terreno, coordinación con otras Á",False,De 6 meses a 1 año,8,06019,"Química, análisis",Licenciado o Ingeniero Superior,Licenciado o Ingeniero Superior,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-09T23:00:00Z,2018-11-02T01:05:05Z,Al menos 3 años,1670979252,"39.5037093,-0.4431618",Empleado,32,HACESFALTA,724,ESPAÑA,ESPAÑA,46,VALENCIA,['VALENCIA'],VALENCIA,18001,1.1744709,Activa,1,17004,GESTIÓN DE PROYECTOS,GESTIÓN DE PROYECTOS,1,Jornada completa,Técnica/o de proyectos para oficina central de farmamundi,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/tecnica-o-de-proyectos-para-oficina-central-de-farmamundi/154026
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,NA,NA,NA,NA,"En dependencia de la Oficina Central  de Farmamundi (Área de Cooperación y Acción Humanitaria y de Emergencias) y en coordinación con el equipo de trabajo de Farmamundi en el país. • Representar a Farmamundi ante organizaciones, redes y autoridades locales así como donantes presentes en el país, medios de comunicación y otras instituciones de interés. Se mantiene presencia continuada en el área. • Responsable de la coordinación y seguimiento de los proyectos en ejecución de Farmacéuticos Mundi en la RDC de acuerdo a las normativas específicas de las agencias financiadoras. • Fortalecer y afianzar el Plan de Trabajo y las estrategias implementadas por Farmamundi en la RDC, según el enfoque de trabajo y objetivos estratégicos de Farmamundi. • Apoyo y refuerzo técnico a las organizaciones contrapartes y las comunidades titulares de derecho en  todas las fases de",False,Más de 2 años,8,06019,"Química, análisis",Licenciado o Ingeniero Superior,Licenciado o Ingeniero Superior,False,2018-11-01T00:08:47Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2019-01-06T23:00:00Z,2018-11-02T01:05:05Z,Al menos 3 años,1670979361,"-0.228021,15.827659",Empleado,7,HACESFALTA,178,CONGO,CONGO,NA,NA,NA,NA,18001,1.1744709,Activa,1,17004,GESTIÓN DE PROYECTOS,GESTIÓN DE PROYECTOS,1,Jornada completa,Técnica/o de proyectos en la república democrática del congo (rdc),1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/tecnica-o-de-proyectos-en-la-republica-democratica-del-congo-rdc-/154024
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,08019,Barcelona,9,CATALUÑA,"Educador/a Social pel Centre Obert Esquitx (5 a 14 años) i l'Espai Jove Esquitx (14 a 18 años). Programació, ejecució i evaluació de les activitats. Elaboració dels Pei's. Sortides de cap de setmana i activitats d'estiu, durant els mesos juny i juliol. Horari: 20 hores/setmanal, tardes. Contracte temporal",False,Sin especificar,7,NA,NA,Diplomado o Ingeniero Técnico,Diplomado o Ingeniero Técnico,False,2018-11-01T00:08:46Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-11-11T23:00:00Z,2018-11-02T01:05:05Z,Al menos 2 años,1670979248,"41.3850639,2.1734035",Empleado,15,HACESFALTA,724,ESPAÑA,ESPAÑA,8,BARCELONA,['BARCELONA'],BARCELONA,12000,1.1744709,Activa,1,13002,ASISTENCIA E INTEGRACIÓN SOCIAL,ASISTENCIA E INTEGRACIÓN SOCIAL,1,Media jornada,Educador/a social,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/educador-a-social-/154021
13,EDUCACIÓN/SERVICIOS SOCIALES,EDUCACIÓN/SERVICIOS SOCIALES,NA,NA,2,ARAGÓN,"Se selecciona persona con formación en musicoterapia para realizar sesiones individuales con niños y adolescentes con Trastorno del Espectro del Autismo y/o otras condiciones que limitan su desempeño autónomo.  Se ofrece contrato de 10h semanales a realizar en tres tardes entre semana, durante todo el curso escolar en la población de Monzón (Huesca).   Se requiere formación en muscoterapia. Se valorará experiencia en este ámbito.",False,Sin especificar,NA,NA,NA,NA,NA,False,2018-11-01T00:08:49Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,No requerida,1670979365,"41.6488226,-0.8890853",Empleado,0,HACESFALTA,724,ESPAÑA,ESPAÑA,50,ZARAGOZA,['ZARAGOZA'],ZARAGOZA,12000,1.1744709,Activa,1,13008,FORMACIÓN PROFESIONAL,FORMACIÓN PROFESIONAL,1,Media jornada,Musicoterapeuta,1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/musicoterapeuta/154008
16,HOSTELERÍA/TURISMO,HOSTELERÍA/TURISMO,33044,Oviedo,3,PRINCIPADO DE ASTURIAS,"Asociación Centro Trama, para su delegación en Asturias, selecciona tres auxiliares educadores para intervención directa con menores en situación de riesgo o conflicto social.",False,De 1 a 2 años,6,NA,NA,"FP II, Ciclo de Grado Superior","FP II, Ciclo de Grado Superior",False,2018-11-01T00:08:49Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-10-30T23:00:00Z,2018-11-02T01:05:05Z,Al menos 1 año,1670979364,"43.3619145,-5.8493887",Empleado,55,HACESFALTA,724,ESPAÑA,ESPAÑA,33,ASTURIAS,['ASTURIAS'],ASTURIAS,18001,1.1744709,Activa,1,16005,COCINEROS,COCINEROS,1,Jornada completa,Auxiliar de educador,3,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/auxiliar-de-educador-/154007
17,INFORMÁTICA/TELECOMUNICACIONES,INFORMÁTICA/TELECOMUNICACIONES,46190,Paterna,10,COMUNIDAD VALENCIANA,"En dependencia de la Dirección del Área de Cooperación y Acción Humanitaria y de Emergencias:  • Gestión administrativa, económica y financiera de proyectos de cooperación al desarrollo en el ámbito sanitario, según parámetros de organismos nacionales -AECID, Comunidades Autónomas, municipios, etc.- e internacionales –Unión Europea. • Presupuestación de proyectos y justificación financiera de los mismos. • Apoyo administrativo y presupuestación de proyectos de cooperación en los procesos de formulación. • Supervisión financiera de los proyectos y elaboración de informes económicos según parámetros de las agencias cofinanciadoras. • Atención a auditorías de proyectos. • Apoyo a las Oficinas de Farmamundi en el terreno, coordinación con otras Áreas de Farmamundi y otros actores y supervisión de ac",False,De 6 meses a 1 año,8,07008,Gestión y Administración Pública,Licenciado o Ingeniero Superior,Licenciado o Ingeniero Superior,False,2018-11-01T00:08:48Z,2018-11-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-09T23:00:00Z,2018-11-02T01:05:05Z,Al menos 2 años,1670979363,"39.5037093,-0.4431618",Empleado,8,HACESFALTA,724,ESPAÑA,ESPAÑA,46,VALENCIA,['VALENCIA'],VALENCIA,18001,1.1744709,Activa,1,17004,GESTIÓN DE PROYECTOS,GESTIÓN DE PROYECTOS,1,Jornada completa,"Técnica/o de gestión administrativa, económica y financiera de proyectos",1,http://www.hacesfalta.org/oportunidades/remuneradas/detalle/tecnica-o-de-gestion-administrativa-economica-y-financiera-de-proyectos/154027
